Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
RTTA.SF1RECA,2017.03,492,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Gisborne,Current,Actual,
RTTA.SF1RECA,2018.03,529.6,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Gisborne,Current,Actual,
RTTA.SF1RECA,2019.03,560.1,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Gisborne,Current,Actual,
RTTA.SF1RECA,2020.03,610.3,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Gisborne,Current,Actual,
RTTA.SF1RECA,2021.03,642.4,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Gisborne,Current,Actual,
RTTA.SF1RECA,2022.03,703.9,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Gisborne,Current,Actual,
RTTA.SF1RECA,2023.03,727.5,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Gisborne,Current,Actual,
RTTA.SF1RECA,2024.03,773.5,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Gisborne,Current,Actual,
RTTA.SF1RFCA,2012.03,1684.2,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Hawke's Bay,Current,Actual,
RTTA.SF1RFCA,2013.03,1690.9,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Hawke's Bay,Current,Actual,
RTTA.SF1RFCA,2014.03,1724.2,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Hawke's Bay,Current,Actual,
RTTA.SF1RFCA,2015.03,1787.9,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Hawke's Bay,Current,Actual,
RTTA.SF1RFCA,2016.03,1855.5,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Hawke's Bay,Current,Actual,
RTTA.SF1RFCA,2017.03,1988.1,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Hawke's Bay,Current,Actual,
RTTA.SF1RFCA,2018.03,2091.1,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Hawke's Bay,Current,Actual,
RTTA.SF1RFCA,2019.03,2228.2,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Hawke's Bay,Current,Actual,
RTTA.SF1RFCA,2020.03,2349.8,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Hawke's Bay,Current,Actual,
RTTA.SF1RFCA,2021.03,2487.7,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Hawke's Bay,Current,Actual,
RTTA.SF1RFCA,2022.03,2756.8,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Hawke's Bay,Current,Actual,
RTTA.SF1RFCA,2023.03,2882.1,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Hawke's Bay,Current,Actual,
RTTA.SF1RFCA,2024.03,2931.7,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Hawke's Bay,Current,Actual,
RTTA.SF1RGCA,2012.03,1188.7,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Taranaki,Current,Actual,
RTTA.SF1RGCA,2013.03,1228.9,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Taranaki,Current,Actual,
RTTA.SF1RGCA,2014.03,1241.1,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Taranaki,Current,Actual,
RTTA.SF1RGCA,2015.03,1282.5,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Taranaki,Current,Actual,
RTTA.SF1RGCA,2016.03,1281.5,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Taranaki,Current,Actual,
RTTA.SF1RGCA,2017.03,1357.8,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Taranaki,Current,Actual,
RTTA.SF1RGCA,2018.03,1437.5,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Taranaki,Current,Actual,
RTTA.SF1RGCA,2019.03,1503.4,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Taranaki,Current,Actual,
RTTA.SF1RGCA,2020.03,1572.9,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Taranaki,Current,Actual,
RTTA.SF1RGCA,2021.03,1572.5,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Taranaki,Current,Actual,
